# Type | Modules affected | vulnerability title | version ini | version end | other version | vulnerability description | url reference (url1 uel2 ... url3)
Core||Multiple XSS/CSRF Vulnerability|1.5.9|1.5.9||A series of XSS and CSRF faults exist in the administrator application. Affected administrator components include com_admin, com_media, com_search. Both com_admin and com_search contain XSS vulnerabilities, and com_media contains 2 CSRF vulnerabilities.|
Component|com_tour|'com_tour' Component 'cid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_tour|The 'com_tour' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39146/
Component|com_trading|'com_trading' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_trading|The 'com_trading' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39143/
Component|com_weberpcustomer|webERPcustomer Component for Joomla! Local File Include Vulnerability|x.x.x|x.x.x|JoomlaMo webERPcustomer 1.2.1|The webERPcustomer component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/39178/
Component|com_jvehicles|Jvehicles Component for Joomla! Local File Include Vulnerability|x.x.x|x.x.x|Jvehicles Jvehicles 1.0|The Jvehicles component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/39177/
Component|com_econtent|E-Content Component for Joomla! Local File Include Vulnerability|x.x.x|x.x.x|E-Contents Manager E-Content 1.0.1|The E-Content component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/39176/
Component|com_userstatus|User Status Component for Joomla! Local File Include Vulnerability|x.x.x|x.x.x|JoomlaMo User Status 1.21.16|The User Status component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/39174/
Component|com_forme|'com_forme' Component 'fid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_forme|The 'com_forme' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39173/
Component|com_network|'com_network' Component 'cid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_network|The 'com_network' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39147/
Component|com_dwgraphs|DW Graph Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Joomla DW Graph 1.0|The DW Graph component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/39108/
Component|com_guide|'com_guide' Component 'season' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_guide|The 'com_guide' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39055/
Component|com_actions|'com_actions' Component 'actionid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_actions|The 'com_actions' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39057/
Component|com_spec|'com_spec' Component 'pro_id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_spec|The 'com_spec' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39050/
Component|com_items|'com_items' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_items|The 'com_items' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39100/
Component|com_television|'com_television' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_television|The 'com_television' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39098/
Component|com_xmap|'com_xmap' Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_xmap|The 'com_xmap' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39035/
Component|com_radio|'com_radio' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_radio|The 'com_radio' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39010/
Component|com_business|'com_business' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_business|The 'com_business' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39009/
Component|com_departments|'com_departments' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_departments|The 'com_departments' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39008/
Component|com_weblinks|'com_weblinks' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_weblinks|The 'com_weblinks' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39032/
Component|com_units|'com_units' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_units|The 'com_units' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39006/
Component|com_teacher|'com_teacher' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_teacher|The 'com_teacher' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39003/
Component|com_science|'com_science' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_science|The 'com_science' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39002/
Component|com_agency|'com_agency' Component 'aid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_agency|The 'com_agency' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39001/
Component|com_topmenu|'com_topmenu' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_topmenu|The 'com_topmenu' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39000/
Component|com_adds|'com_adds' Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_adds|The 'com_adds' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38999/
Component|com_personal|'com_personal' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_personal|The 'com_personal' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39005/
Component|com_tariff|'com_tariff' Component 'detail' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_tariff|The 'com_tariff' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/39004/
Component|com_dcs_flashgames|dcsFlashGames Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Adam Corley dcsFlashGames|The dcsFlashGames component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38981/
Component|com_solution|'com_solution' Component 'con' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_solution|The 'com_solution' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38997/
Component|com_jresearch|'com_jresearch' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_jresearch|The 'com_jresearch' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38917/
Component|com_software|'com_software' Component 'software_id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_software|The 'com_software' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38942/
Component|com_wallpapers|'com_wallpapers' Component 'cid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_wallpapers|The 'com_wallpapers' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38941/
Component|com_universal|'com_universal' Component 'mosConfig_absolute_path' Remote File Include Vulnerability|x.x.x|x.x.x|Joomla com_universal 1.0|The 'com_universal' component for Joomla! is prone to a remote file-include vulnerability because it fails to sufficiently sanitize user-supplied input.Exploiting this issue may allow an attacker to compromise the application and the underlying system; other attacks are also possible.|http://www.securityfocus.com/bid/38949/
Component|com_cb|'com_cb' Component 'cat' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_cb|The 'com_cb' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38916/
Component|com_aml_2|'com_aml_2' Component 'art' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_aml_2|The 'com_aml_2' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38914/
Component|com_cx|'com_cx' Component 'postid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_cx|The 'com_cx' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38915/
Component|com_properties|'com_properties' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_properties|The 'com_properties' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38912/
Component|com_smestorage|SMEStorage 'com_smestorage' Component for Joomla! Local File Include Vulnerability|x.x.x|x.x.x|Roman Gelembjuk SMEStorage 1.0|The SMEStorage component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38911/
Component|com_gds|'com_gds' Component 'sid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_gds|The 'com_flash' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38910/
Component|com_flash|'com_flash' Component 'sid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_flash|The 'com_flash' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38890/
Component|com_giftexchange|Gift Exchange Component 'pkg' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Socialables Gift Exchange 1.0beta|The Gift Exchange ('com_giftexchange') component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38869/
Component|com_jeformcr|'com_jeformcr' Component 'view' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_jeformcr|The 'com_jeformcr' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38866/
Component|com_vxdate|VXDate Component for Joomla! Cross-Site Scripting and SQL-Injection Vulnerabilities|x.x.x|x.x.x|VXDate|VXDate Component for Joomla! is prone to a cross-site scripting vulnerability and an SQL-injection vulnerability because the application fails to sufficiently sanitize user-supplied input.A successful exploit may allow an attacker to steal cookie-based authentication credentials, compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38788/
Component|com_include|'com_include' Component 'ID_NLE' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_include|The 'com_include' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38784/
Component|com_ckforms|'com_ckforms' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Cookex Agency CKForms 1.3.3|The 'com_ckforms' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38783/
Component|com_alert|'com_alert' Component 'q_item' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_alert|The 'com_alert' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38827/
Component|com_ckforms|CKForms Component 'fid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Cookex Agency CKForms 1.3.3|The CKForms component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38785/
Component|com_as|'com_as' Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_as|The 'com_as' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38757/
Component|com_route|'com_route' Component 'kid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_route|The 'com_route' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38754/
Component|com_sectionex|Stack Ideas 'com_sectionex' Component for Joomla! Local File Include Vulnerability|x.x.x|x.x.x|Stack Ideas com_sectionex|The 'com_sectionex' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38751/
Component|com_ganalytics|'com_ganalytics' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_ganalytics|The 'com_ganalytics' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38749/
Component|com_linkr|'com_linkr' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_linkr|The 'com_linkr' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38747/
Component|com_janews|'com_janews' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_janews|The 'com_janews' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38746/
Component|com_rpx|Ulti Joomla Ulti RPX Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Ulti Joomla Ulti RPX 2.1|The Ulti Joomla Ulti RPX component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38743/
Component|com_gcalendar|G4J GCalendar Suite Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|G4J GCalendar Suite 2.1.5|The G4J GCalendar Suite component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information or execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38742/
Component|com_rokdownloads|RokDownloads Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|RocketTheme RokDownloads < 1.0|The RokDownloads component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38741/
Component|com_org|'com_org' Component 'letter' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_org|The 'com_org' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38736/
Component|com_org|'com_org' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_org|The 'com_org' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38726/
Component|com_nfnaddressbook|'com_nfnaddressbook' Component 'record_id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_nfnaddressbook|The 'com_nfnaddressbook' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38724/
Component|com_ninjarsssyndicator|Ninja RSS Syndicator Component Local File Include Vulnerability|x.x.x|x.x.x|Ninja RSS Syndicator 1.0.8|The Ninja RSS Syndicator component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|chttp://www.securityfocus.com/bid/38761/
Component|com_bidding|'com_bidding' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_bidding|The 'com_bidding' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38755/
Component|com_juliaportfolio|'com_juliaportfolio' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_juliaportfolio|The 'com_juliaportfolio' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38715/
Component|com_d-greinar|'com_d-greinar' Component 'maintree' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|com_d-greinar|The Joomla! 'com_d-greinar' component is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/38714/
Component|com_sbsfile|'com_sbsfile' Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_sbsfile|The 'com_sbsfile' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/38713/
Component|com_seek|'com_seek' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|'com_seek' Component 'id' Parameter SQL Injection Vulnerability|The 'com_seek' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38711/
Component|com_races|'com_races' Component 'raceId' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_races|The 'com_races' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38712/
Component|com_family|'com_family' Component 'categoryid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_family|The 'com_family' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38695/
Component|com_start|'com_start' Component 'mitID' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_start|The 'com_start' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38693/
Component|com_leader|'com_leader' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_leader|The 'com_leader' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38694/
Component|com_gigfe|'com_gigfe' Component 'styletype' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_gigfe|The 'com_gigfe' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38681/
Component|com_party|'com_party' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_party|The 'com_party' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38679/
